batch	param	setting	dataset	ESS	hr	partition	Leff	L	N	mean.speed	CD_weight	RW_weight	SPP_weight	NER_weight	NER_acc	NE_acc	correctBactrian	ESS.hr
1	TipRates	real	Cognato_2001	8825.99289068504	1.89222222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	4664.35325990401
1	height	real	Cognato_2001	3171.43371294313	1.89222222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1676.03660695761
1	ucldStdev	real	Cognato_2001	3461.8408394552	1.89222222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1829.51071961813
1	kappa	real	Cognato_2001	10679.137890473	1.89222222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	5643.70176243438
1	prior	real_adaptive	Cognato_2001	6183.30308021397	1.55444444444444	3	0.8	1.9	44	1	0.609982320471893	0.144076535923798	0.106615484123837	-1	-1	-1	TRUE	3977.82185288962
1	likelihood	real_adaptive	Cognato_2001	1843.84380109322	1.55444444444444	3	0.8	1.9	44	1	0.609982320471893	0.144076535923798	0.106615484123837	-1	-1	-1	TRUE	1186.17542600708
1	TipRates	real_adaptive	Cognato_2001	9218.92742270723	1.55444444444444	3	0.8	1.9	44	1	0.609982320471893	0.144076535923798	0.106615484123837	-1	-1	-1	TRUE	5930.68954999035
1	height	real_adaptive	Cognato_2001	3177.83019877828	1.55444444444444	3	0.8	1.9	44	1	0.609982320471893	0.144076535923798	0.106615484123837	-1	-1	-1	TRUE	2044.35109285236
1	ucldStdev	real_adaptive	Cognato_2001	6812.26723400303	1.55444444444444	3	0.8	1.9	44	1	0.609982320471893	0.144076535923798	0.106615484123837	-1	-1	-1	TRUE	4382.44496826499
1	kappa	real_adaptive	Cognato_2001	9764.92933383443	1.55444444444444	3	0.8	1.9	44	1	0.609982320471893	0.144076535923798	0.106615484123837	-1	-1	-1	TRUE	6281.94167294566
1	prior	quant_06_cached	Cognato_2001	4896.9705354782	2.54444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1924.57357289536
1	likelihood	quant_06_cached	Cognato_2001	1707.30902736473	2.54444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	670.994814248147
1	TipRates	quant_06_cached	Cognato_2001	7502.78494171489	2.54444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2948.69277185302
1	height	quant_06_cached	Cognato_2001	3506.89734475917	2.54444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1378.25659837697
1	ucldStdev	quant_06_cached	Cognato_2001	6189.61158221932	2.54444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2432.59843842681
1	kappa	quant_06_cached	Cognato_2001	8990.80819689422	2.54444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	3533.50540489293
1	prior	quant_cached_adaptive	Cognato_2001	4704.49421200722	2.855	3	0.8	1.9	44	1	0.270550778840886	0.174667975118206	0.281699827718994	-1	-1	-1	TRUE	1647.80883082565
1	likelihood	quant_cached_adaptive	Cognato_2001	2022.94766909447	2.855	3	0.8	1.9	44	1	0.270550778840886	0.174667975118206	0.281699827718994	-1	-1	-1	TRUE	708.563106512948
1	TipRates	quant_cached_adaptive	Cognato_2001	10280.1208402504	2.855	3	0.8	1.9	44	1	0.270550778840886	0.174667975118206	0.281699827718994	-1	-1	-1	TRUE	3600.74285122605
1	height	quant_cached_adaptive	Cognato_2001	4272.08650236695	2.855	3	0.8	1.9	44	1	0.270550778840886	0.174667975118206	0.281699827718994	-1	-1	-1	TRUE	1496.35254023361
1	ucldStdev	quant_cached_adaptive	Cognato_2001	8209.27846396625	2.855	3	0.8	1.9	44	1	0.270550778840886	0.174667975118206	0.281699827718994	-1	-1	-1	TRUE	2875.40401539974
1	kappa	quant_cached_adaptive	Cognato_2001	9815.61583016714	2.855	3	0.8	1.9	44	1	0.270550778840886	0.174667975118206	0.281699827718994	-1	-1	-1	TRUE	3438.04407361371
1	prior	quant_cached	Cognato_2001	4047.33254658584	2.66722222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1517.43357297532
1	likelihood	quant_cached	Cognato_2001	1941.29052250619	2.66722222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	727.832314207694
1	TipRates	quant_cached	Cognato_2001	9873.20608030852	2.66722222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	3701.68109655391
1	height	quant_cached	Cognato_2001	3369.21556858477	2.66722222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1263.19267307906
1	ucldStdev	quant_cached	Cognato_2001	4400.22821338182	2.66722222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1649.74188379239
1	kappa	quant_cached	Cognato_2001	9441.84277944563	2.66722222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	3539.95355196878
1	prior	cat	Dornburg_2012	1703.52914774002	3.20722222222222	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	531.154073433577
1	likelihood	cat	Dornburg_2012	2670.40673112834	3.20722222222222	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	832.622919804437
1	TipRates	cat	Dornburg_2012	8319.52532430737	3.20722222222222	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2593.99715637507
1	height	cat	Dornburg_2012	503.510353774186	3.20722222222222	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	156.992661838478
1	ucldStdev	cat	Dornburg_2012	923.393759387212	3.20722222222222	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	287.910751238001
1	kappa	cat	Dornburg_2012	12511.9071562794	3.20722222222222	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	3901.16627079559
1	prior	cat_adaptive	Dornburg_2012	1289.30010283369	4.60527777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	279.961419277476
1	likelihood	cat_adaptive	Dornburg_2012	2764.11953772351	4.60527777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	600.20690848692
1	TipRates	cat_adaptive	Dornburg_2012	9507.93552672011	4.60527777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2064.57373159976
1	height	cat_adaptive	Dornburg_2012	519.026999253124	4.60527777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	112.702647765924
1	ucldStdev	cat_adaptive	Dornburg_2012	1023.00879463972	4.60527777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	222.138347349237
1	kappa	cat_adaptive	Dornburg_2012	11048.1386920657	4.60527777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2399.01678577939
1	prior	real_06	Dornburg_2012	580.287767856918	2.4975	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	232.347454597365
1	likelihood	real_06	Dornburg_2012	3029.85025415608	2.4975	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1213.15325491735
1	TipRates	real_06	Dornburg_2012	8121.09724008755	2.4975	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	3251.69058662164
1	height	real_06	Dornburg_2012	118.702050072221	2.4975	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	47.5283483772658
1	ucldStdev	real_06	Dornburg_2012	547.236437823238	2.4975	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	219.113688818114
1	kappa	real_06	Dornburg_2012	11631.2589723244	2.4975	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	4657.16074967943
1	prior	real	Dornburg_2012	1492.66185648095	3.53888888888889	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	421.788279696345
1	likelihood	real	Dornburg_2012	3602.54922727081	3.53888888888889	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1017.98879263539
1	TipRates	real	Dornburg_2012	9243.97060915801	3.53888888888889	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2612.11100415768
1	height	real	Dornburg_2012	453.666048370205	3.53888888888889	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	128.194487765521
1	ucldStdev	real	Dornburg_2012	961.260894256763	3.53888888888889	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	271.627882207562
1	kappa	real	Dornburg_2012	11602.6070220689	3.53888888888889	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	3278.60167028636
1	prior	real_adaptive	Dornburg_2012	1369.17869202052	2.59694444444444	7	1.8	5.9	44	1	0.519944359621966	0.133247130168699	0.121502415245074	-1	-1	-1	TRUE	527.226793376176
1	likelihood	real_adaptive	Dornburg_2012	3241.89634253798	2.59694444444444	7	1.8	5.9	44	1	0.519944359621966	0.133247130168699	0.121502415245074	-1	-1	-1	TRUE	1248.35028699719
1	TipRates	real_adaptive	Dornburg_2012	11651.6330015571	2.59694444444444	7	1.8	5.9	44	1	0.519944359621966	0.133247130168699	0.121502415245074	-1	-1	-1	TRUE	4486.670104354
1	height	real_adaptive	Dornburg_2012	318.568565183584	2.59694444444444	7	1.8	5.9	44	1	0.519944359621966	0.133247130168699	0.121502415245074	-1	-1	-1	TRUE	122.670535315104
1	ucldStdev	real_adaptive	Dornburg_2012	1072.90090781412	2.59694444444444	7	1.8	5.9	44	1	0.519944359621966	0.133247130168699	0.121502415245074	-1	-1	-1	TRUE	413.139722765092
